model,gene,auroc
logistic_regression,SLC2A1,0.644927536231884
logistic_regression,SLC2A2,0.7792207792207793
logistic_regression,SLC34A3,0.7508771929824561
logistic_regression,SLC38A8,0.8775510204081632
logistic_regression,SLC40A1,0.8848684210526316
logistic_regression,SLC52A3,0.8395061728395061
logistic_regression,SLC6A5,0.8393939393939394
logistic_regression,SMC3,0.814
logistic_regression,SNAP25,0.7142857142857142
logistic_regression,SOX6,0.7569444444444445
logistic_regression,SOX9,0.8952380952380953
logistic_regression,SPG11,0.7222222222222221
logistic_regression,SPG7,0.8833333333333333
logistic_regression,SPINT2,0.8571428571428572
logistic_regression,STAG1,0.8564814814814815
logistic_regression,STAG2,0.7214285714285715
logistic_regression,STAT6,0.9333333333333333
logistic_regression,SUMF1,0.7314814814814814
logistic_regression,SYNGAP1,0.8592786885245901
logistic_regression,TAOK1,0.8148148148148149
logistic_regression,TARS2,0.84375
logistic_regression,TEK,0.8812260536398466
logistic_regression,TFR2,0.9327731092436975
logistic_regression,TGFB2,0.7619047619047619
logistic_regression,THOC2,0.8666666666666667
logistic_regression,TJP2,0.53125
logistic_regression,TMEM231,0.5882352941176471
logistic_regression,TP63,0.8079545454545455
logistic_regression,TRAF7,0.6118421052631579
logistic_regression,TRIO,0.7557932263814617
logistic_regression,TRPV3,0.968
logistic_regression,TSC1,0.9548229548229548
logistic_regression,TSHR,0.7492063492063492
logistic_regression,VARS1,0.6153846153846154
logistic_regression,VPS13D,0.5880952380952381
logistic_regression,WAS,0.8859126984126984
logistic_regression,WASHC5,0.8500000000000001
logistic_regression,WDR37,0.4375
logistic_regression,WDR45,0.8059006211180124
logistic_regression,WDR73,0.5333333333333333
logistic_regression,WFS1,0.8158536585365853
logistic_regression,WWOX,0.7112299465240641
logistic_regression,ZAP70,0.7250000000000001
logistic_regression,ZEB2,0.6927480916030535
logistic_regression,ZIC1,0.5538461538461539
logistic_regression,ZIC3,0.7592592592592593
random_forest,ABCA1,0.8724109362054681
random_forest,ABCA12,0.7331568108267138
random_forest,ABCC2,0.751131221719457
random_forest,ABCC8,0.737747653806048
random_forest,ACP5,0.7166666666666667
random_forest,ADA2,0.8638888888888889
random_forest,ADGRV1,0.7300664451827242
random_forest,AGBL5,0.8800000000000001
random_forest,ALDH18A1,0.6793478260869565
random_forest,ALDH3A2,0.8352272727272727
random_forest,ALDH5A1,0.765008576329331
random_forest,ALDH7A1,0.8412698412698413
random_forest,ALOX12B,0.5735294117647058
random_forest,ALS2,0.9484126984126984
random_forest,AMH,0.7883597883597884
random_forest,AMT,0.7411764705882353
random_forest,ANO10,0.98
random_forest,APOB,0.543377321603128
random_forest,ARID1A,0.8426640926640926
random_forest,ARSG,0.7179487179487178
random_forest,ASL,0.8123711340206186
random_forest,ATP2B3,0.5424242424242425
random_forest,AVP,0.8518518518518519
random_forest,BBS10,0.8962962962962963
random_forest,BCL11B,0.8044397463002113
random_forest,BRAF,0.9087962962962963
random_forest,BRF1,0.8999999999999999
random_forest,C3,0.8701298701298702
random_forest,CACNA1A,0.9197897340754484
random_forest,CAMK2B,0.894
random_forest,CAPN3,0.7755937755937755
random_forest,CARD11,0.9424999999999999
random_forest,CASQ2,0.8518518518518519
random_forest,CDH23,0.8069319319319319
random_forest,CDK13,0.8573066499895768
random_forest,CDKN2A,0.7846153846153846
random_forest,CELSR3,0.6304878048780488
random_forest,CERKL,0.9444444444444444
random_forest,CHD2,0.8573529411764707
random_forest,CHD4,0.9310344827586208
random_forest,CHD5,0.9126984126984127
random_forest,CIT,0.9166666666666666
random_forest,CNOT3,0.9914529914529914
random_forest,COL10A1,0.6603260869565217
random_forest,COL12A1,0.935515873015873
random_forest,COL1A1,0.9600545695634434
random_forest,COL2A1,0.976510989010989
random_forest,COL3A1,0.9946332737030412
random_forest,COL5A2,0.9865174985656913
random_forest,COLQ,0.6333333333333333
random_forest,COPA,0.68
random_forest,COX10,0.8367346938775511
random_forest,CRPPA,0.7619047619047619
random_forest,CTNS,0.7987012987012987
random_forest,CTR9,0.841025641025641
random_forest,CUL7,0.9033333333333333
random_forest,CYFIP2,0.8308080808080808
random_forest,CYP26B1,0.8545454545454545
random_forest,CYP4V2,0.7857142857142857
random_forest,DCTN1,0.8419117647058824
random_forest,DHCR7,0.8362573099415205
random_forest,DLL4,0.8705357142857143
random_forest,DNAAF3,0.5324675324675324
random_forest,DNAI1,0.8181818181818182
random_forest,DNM1,0.7391304347826086
random_forest,DNMT3A,0.96875
random_forest,DNMT3B,0.8538011695906433
random_forest,DOT1L,0.8607142857142858
random_forest,DSG2,0.7351916376306621
random_forest,DYNC2I2,0.5555555555555556
random_forest,EBF3,0.8159574468085107
random_forest,EDAR,0.793859649122807
random_forest,ELAC2,0.7222222222222222
random_forest,ELANE,0.8310032894736842
random_forest,ENG,0.7900641025641025
random_forest,ENPP1,0.8148148148148148
random_forest,EP300,0.8861189032666726
random_forest,ERCC5,0.8791666666666667
random_forest,EYA1,0.9488304093567251
random_forest,EZH2,0.9239766081871345
random_forest,F11,0.6864224137931034
random_forest,F5,0.8401988636363636
random_forest,F8,0.8059731328962099
random_forest,FAM20C,0.9128205128205129
random_forest,FANCI,0.8975155279503105
random_forest,FARS2,0.9125874125874126
random_forest,FECH,0.8892857142857143
random_forest,FGFR1,0.917478882391163
random_forest,FLCN,0.9761904761904763
random_forest,FN1,0.9499698613622665
random_forest,FOXH1,0.8333333333333333
random_forest,FOXP1,0.8498533724340176
random_forest,FRMD7,0.8513931888544891
random_forest,FUS,0.8833333333333334
random_forest,GABRG2,0.7669376693766937
random_forest,GCDH,0.7453488372093022
random_forest,GFAP,0.909452736318408
random_forest,GJA3,0.96415770609319
random_forest,GJB3,0.7
random_forest,GLUD1,0.48015873015873023
random_forest,GNAI1,0.7
random_forest,GNAS,0.8901098901098902
random_forest,GPI,0.5588235294117647
random_forest,GPR143,0.8371212121212122
random_forest,GRIA3,0.875
random_forest,GRIN1,0.6835122242098988
random_forest,GUCY2C,0.6944444444444444
random_forest,HBA1,0.7934027777777777
random_forest,HCN4,0.9894179894179894
random_forest,HECW2,0.8296803652968037
random_forest,HNF1A,0.7745024875621891
random_forest,HNRNPK,0.6909090909090909
random_forest,HSD3B2,0.9068322981366459
random_forest,HTRA1,0.831578947368421
random_forest,IARS1,0.8928571428571429
random_forest,IDUA,0.8877887788778878
random_forest,IFT122,0.9636363636363636
random_forest,IGF1R,0.9411764705882353
random_forest,INF2,0.9122137404580153
random_forest,JAK3,0.7490118577075099
random_forest,KCNC3,0.7828947368421053
random_forest,KCND3,0.9541666666666667
random_forest,KCNJ11,0.6341463414634146
random_forest,KCNJ5,0.8958333333333333
random_forest,KCNQ3,0.8939393939393939
random_forest,KIF11,0.855603448275862
random_forest,KRT6A,0.9826839826839827
random_forest,LCAT,0.64
random_forest,LDLR,0.8544811320754716
random_forest,LIPA,0.6973392461197339
random_forest,LOX,0.8714285714285714
random_forest,LPAR6,0.8333333333333335
random_forest,LRRK2,0.7625000000000001
random_forest,LRSAM1,0.9400000000000001
random_forest,LYST,0.9308755760368663
random_forest,MAP3K7,0.9027777777777777
random_forest,MBTPS1,0.8769230769230769
random_forest,MC2R,0.7763157894736842
random_forest,MEGF10,0.9666666666666668
random_forest,MEN1,0.8883620689655172
random_forest,MFN2,0.7521008403361344
random_forest,MFRP,0.92
random_forest,MITF,0.9391304347826087
random_forest,MNX1,0.85
random_forest,MTRR,0.7894736842105263
random_forest,MTTP,0.868421052631579
random_forest,MYH2,0.8363636363636364
random_forest,MYO6,0.8125
random_forest,MYOC,0.9162393162393162
random_forest,MYOT,0.48571428571428577
random_forest,MYRF,0.886904761904762
random_forest,NDUFA10,0.8333333333333334
random_forest,NFKBIA,0.32352941176470584
random_forest,NLRP1,0.627027027027027
random_forest,NOTCH2,0.8571428571428571
random_forest,NR2E3,0.920940170940171
random_forest,NR2F1,0.8033509700176367
random_forest,NR4A2,0.8708133971291866
random_forest,NTRK1,0.8347107438016529
random_forest,NUP107,0.75
random_forest,OSMR,0.72
random_forest,PAK1,0.7565217391304349
random_forest,PCSK9,0.7192307692307691
random_forest,PDE6B,0.875
random_forest,PDHA1,0.8761022927689593
random_forest,PEX6,0.7071611253196931
random_forest,PGAP3,0.9722222222222223
random_forest,PGK1,0.7202380952380952
random_forest,PHIP,0.7393753200204813
random_forest,PIGS,0.8
random_forest,PIGW,0.761904761904762
random_forest,PMP2,0.7142857142857143
random_forest,PNPT1,0.952991452991453
random_forest,POGZ,0.8538359788359788
random_forest,POLRMT,0.7951127819548872
random_forest,POMT2,0.9131944444444444
random_forest,PPA2,0.7222222222222222
random_forest,PQBP1,0.8333333333333334
random_forest,PRKCG,0.9882352941176471
random_forest,PRMT7,0.8999999999999999
random_forest,PRPH2,0.8776455026455026
random_forest,PTCH1,0.9319136745607334
random_forest,PTPN11,0.8016528925619835
random_forest,PUS7,0.72
random_forest,RAB3GAP2,0.8769230769230769
random_forest,RAG2,0.8198653198653199
random_forest,RAI1,0.6410045286125977
random_forest,RALA,0.6666666666666666
random_forest,RDH5,0.9423076923076923
random_forest,RHO,0.7816820276497695
random_forest,RMND1,0.7159090909090908
random_forest,RTEL1,0.81
random_forest,SCN1A,0.8736786469344607
random_forest,SCNN1B,0.6458333333333334
random_forest,SETD1A,0.6522988505747127
random_forest,SETD2,0.8853994490358127
random_forest,SH3TC2,0.811965811965812
random_forest,SHANK3,0.7977272727272728
random_forest,SHH,0.5880681818181819
random_forest,SLC20A2,0.8125
random_forest,SLC25A46,0.8333333333333333
random_forest,SLC2A1,0.739855072463768
random_forest,SLC2A2,0.8571428571428572
random_forest,SLC34A3,0.9333333333333332
random_forest,SLC38A8,0.9251700680272108
random_forest,SLC40A1,0.8552631578947368
random_forest,SLC52A3,0.9012345679012346
random_forest,SLC6A5,0.906060606060606
random_forest,SMC3,0.823
random_forest,SNAP25,0.680672268907563
random_forest,SOX6,0.736111111111111
random_forest,SOX9,0.9503968253968254
random_forest,SPG11,0.742063492063492
random_forest,SPG7,0.8694444444444446
random_forest,SPINT2,0.9642857142857143
random_forest,STAG1,0.8506944444444445
random_forest,STAG2,0.6535714285714287
random_forest,STAT6,0.9
random_forest,SUMF1,0.8310185185185185
random_forest,SYNGAP1,0.8891147540983607
random_forest,TAOK1,0.861111111111111
random_forest,TARS2,0.8229166666666667
random_forest,TEK,0.8908045977011494
random_forest,TFR2,0.9033613445378151
random_forest,TGFB2,0.8809523809523809
random_forest,THOC2,0.9111111111111111
random_forest,TJP2,0.703125
random_forest,TMEM231,0.4453781512605042
random_forest,TP63,0.8636363636363636
random_forest,TRAF7,0.7335526315789473
random_forest,TRIO,0.7886215092097445
random_forest,TRPV3,0.976
random_forest,TSC1,0.9584859584859585
random_forest,TSHR,0.8507936507936507
random_forest,VARS1,0.7044534412955467
random_forest,VPS13D,0.6761904761904762
random_forest,WAS,0.9027777777777777
random_forest,WASHC5,0.8166666666666668
random_forest,WDR37,0.65625
random_forest,WDR45,0.8090062111801242
random_forest,WDR73,0.43333333333333335
random_forest,WFS1,0.814430894308943
random_forest,WWOX,0.6684491978609626
random_forest,ZAP70,0.725
random_forest,ZEB2,0.7207379134860051
random_forest,ZIC1,0.5692307692307692
random_forest,ZIC3,0.7407407407407407
esm2_head,ABCA1,0.9805302402651201
esm2_head,ABCA12,0.9405707561047367
esm2_head,ABCC2,0.9457013574660633
esm2_head,ABCC8,0.9155370177267987
esm2_head,ACP5,0.9833333333333334
esm2_head,ADA2,0.9277777777777778
esm2_head,ADGRV1,0.7041528239202658
esm2_head,AGBL5,0.9400000000000001
esm2_head,ALDH18A1,0.8804347826086957
esm2_head,ALDH3A2,0.9507575757575758
esm2_head,ALDH5A1,0.9416809605488851
esm2_head,ALDH7A1,0.891156462585034
esm2_head,ALOX12B,0.9352941176470588
esm2_head,ALS2,0.9603174603174603
esm2_head,AMH,0.962962962962963
esm2_head,AMT,0.9352941176470588
esm2_head,ANO10,0.84
esm2_head,APOB,0.6549364613880744
esm2_head,ARID1A,0.8516731016731017
esm2_head,ARSG,1.0
esm2_head,ASL,0.9422680412371134
esm2_head,ATP2B3,0.6303030303030303
esm2_head,AVP,0.837037037037037
esm2_head,BBS10,0.9481481481481482
esm2_head,BCL11B,0.9069767441860466
esm2_head,BRAF,1.0
esm2_head,BRF1,0.8666666666666667
esm2_head,C3,0.7532467532467533
esm2_head,CACNA1A,0.9760667903525047
esm2_head,CAMK2B,0.9279999999999999
esm2_head,CAPN3,0.7796887796887796
esm2_head,CARD11,0.9875
esm2_head,CASQ2,1.0
esm2_head,CDH23,0.933933933933934
esm2_head,CDK13,0.9685219929122367
esm2_head,CDKN2A,0.8835164835164836
esm2_head,CELSR3,0.7926829268292683
esm2_head,CERKL,0.7222222222222223
esm2_head,CHD2,0.9232142857142858
esm2_head,CHD4,0.9680715197956578
esm2_head,CHD5,0.9563492063492064
esm2_head,CIT,0.9666666666666667
esm2_head,CNOT3,0.952991452991453
esm2_head,COL10A1,0.6920289855072463
esm2_head,COL12A1,0.9490740740740741
esm2_head,COL1A1,0.9827621379028968
esm2_head,COL2A1,0.9869677197802197
esm2_head,COL3A1,0.9948215798888994
esm2_head,COL5A2,0.9896729776247849
esm2_head,COLQ,0.9533333333333334
esm2_head,COPA,0.7971428571428572
esm2_head,COX10,1.0
esm2_head,CRPPA,0.9682539682539683
esm2_head,CTNS,0.9448051948051948
esm2_head,CTR9,0.8769230769230769
esm2_head,CUL7,0.7433333333333333
esm2_head,CYFIP2,0.702020202020202
esm2_head,CYP26B1,0.9636363636363636
esm2_head,CYP4V2,0.9583333333333333
esm2_head,DCTN1,0.9448529411764706
esm2_head,DHCR7,0.9166666666666667
esm2_head,DLL4,0.9955357142857143
esm2_head,DNAAF3,0.8181818181818181
esm2_head,DNAI1,0.9393939393939394
esm2_head,DNM1,0.8555491990846682
esm2_head,DNMT3A,1.0
esm2_head,DNMT3B,0.9649122807017544
esm2_head,DOT1L,0.8857142857142857
esm2_head,DSG2,0.9512195121951219
esm2_head,DYNC2I2,0.9012345679012346
esm2_head,EBF3,0.9659574468085107
esm2_head,EDAR,0.9078947368421053
esm2_head,ELAC2,0.9537037037037037
esm2_head,ELANE,0.8700657894736842
esm2_head,ENG,0.8179708222811671
esm2_head,ENPP1,1.0
esm2_head,EP300,0.9433987874400507
esm2_head,ERCC5,0.9666666666666667
esm2_head,EYA1,0.9005847953216374
esm2_head,EZH2,0.9064327485380117
esm2_head,F11,0.7952586206896552
esm2_head,F5,0.9232954545454546
esm2_head,F8,0.9325523748600671
esm2_head,FAM20C,0.9333333333333333
esm2_head,FANCI,0.7888198757763975
esm2_head,FARS2,0.9685314685314685
esm2_head,FECH,0.9571428571428571
esm2_head,FGFR1,0.9473684210526316
esm2_head,FLCN,0.9404761904761905
esm2_head,FN1,0.9590114526823388
esm2_head,FOXH1,0.9166666666666667
esm2_head,FOXP1,0.9574780058651026
esm2_head,FRMD7,0.9195046439628483
esm2_head,FUS,0.7
esm2_head,GABRG2,1.0
esm2_head,GCDH,0.8174418604651162
esm2_head,GFAP,0.8786069651741293
esm2_head,GJA3,0.985663082437276
esm2_head,GJB3,0.39
esm2_head,GLUD1,0.7777777777777778
esm2_head,GNAI1,1.0
esm2_head,GNAS,0.8131868131868132
esm2_head,GPI,0.872549019607843
esm2_head,GPR143,0.7992424242424242
esm2_head,GRIA3,0.9940476190476191
esm2_head,GRIN1,0.8387000596302923
esm2_head,GUCY2C,0.875
esm2_head,HBA1,0.9131944444444443
esm2_head,HCN4,1.0
esm2_head,HECW2,0.9246575342465754
esm2_head,HNF1A,0.9485074626865672
esm2_head,HNRNPK,0.9636363636363636
esm2_head,HSD3B2,0.9503105590062112
esm2_head,HTRA1,1.0
esm2_head,IARS1,0.9155844155844155
esm2_head,IDUA,0.8491749174917492
esm2_head,IFT122,0.8545454545454546
esm2_head,IGF1R,0.9529411764705882
esm2_head,INF2,0.9821374045801528
esm2_head,JAK3,0.9130434782608695
esm2_head,KCNC3,0.7763157894736842
esm2_head,KCND3,0.9500000000000001
esm2_head,KCNJ11,0.7878048780487805
esm2_head,KCNJ5,1.0
esm2_head,KCNQ3,0.9727272727272728
esm2_head,KIF11,0.8254310344827587
esm2_head,KRT6A,0.9437229437229437
esm2_head,LCAT,0.8799999999999999
esm2_head,LDLR,0.9492017416545719
esm2_head,LIPA,0.9113082039911308
esm2_head,LOX,0.9714285714285715
esm2_head,LPAR6,0.8333333333333334
esm2_head,LRRK2,0.8928571428571429
esm2_head,LRSAM1,1.0
esm2_head,LYST,0.9170506912442395
esm2_head,MAP3K7,0.8888888888888888
esm2_head,MBTPS1,0.9230769230769231
esm2_head,MC2R,0.9649122807017544
esm2_head,MEGF10,1.0
esm2_head,MEN1,0.9870689655172413
esm2_head,MFN2,0.9630252100840336
esm2_head,MFRP,1.0
esm2_head,MITF,1.0
esm2_head,MNX1,1.0
esm2_head,MTRR,0.9385964912280702
esm2_head,MTTP,0.9912280701754387
esm2_head,MYH2,0.9636363636363636
esm2_head,MYO6,0.71875
esm2_head,MYOC,0.9777777777777777
esm2_head,MYOT,0.7428571428571429
esm2_head,MYRF,0.8809523809523809
esm2_head,NDUFA10,0.7857142857142857
esm2_head,NFKBIA,0.7647058823529411
esm2_head,NLRP1,0.8378378378378378
esm2_head,NOTCH2,0.8571428571428572
esm2_head,NR2E3,0.9230769230769231
esm2_head,NR2F1,0.982363315696649
esm2_head,NR4A2,0.8660287081339713
esm2_head,NTRK1,0.9779614325068872
esm2_head,NUP107,0.9444444444444445
esm2_head,OSMR,0.8200000000000001
esm2_head,PAK1,0.9391304347826087
esm2_head,PCSK9,0.6230769230769231
esm2_head,PDE6B,0.8307291666666666
esm2_head,PDHA1,0.919973544973545
esm2_head,PEX6,0.8670076726342711
esm2_head,PGAP3,0.9537037037037037
esm2_head,PGK1,0.6825396825396824
esm2_head,PHIP,0.9201228878648233
esm2_head,PIGS,0.8461538461538463
esm2_head,PIGW,0.7857142857142857
esm2_head,PMP2,0.8285714285714286
esm2_head,PNPT1,0.982905982905983
esm2_head,POGZ,0.8928571428571429
esm2_head,POLRMT,0.943609022556391
esm2_head,POMT2,0.9340277777777777
esm2_head,PPA2,0.9841269841269841
esm2_head,PQBP1,0.9666666666666668
esm2_head,PRKCG,0.9764705882352941
esm2_head,PRMT7,1.0
esm2_head,PRPH2,0.8994708994708994
esm2_head,PTCH1,0.9290488922841864
esm2_head,PTPN11,0.662534435261708
esm2_head,PUS7,0.92
esm2_head,RAB3GAP2,0.8923076923076922
esm2_head,RAG2,0.9393939393939394
esm2_head,RAI1,0.7050226430629889
esm2_head,RALA,1.0
esm2_head,RDH5,0.8717948717948718
esm2_head,RHO,0.7557603686635945
esm2_head,RMND1,0.8863636363636364
esm2_head,RTEL1,0.924
esm2_head,SCN1A,0.9498432601880877
esm2_head,SCNN1B,0.8541666666666666
esm2_head,SETD1A,0.693103448275862
esm2_head,SETD2,0.9691460055096419
esm2_head,SH3TC2,1.0
esm2_head,SHANK3,0.9261363636363635
esm2_head,SHH,0.9412878787878788
esm2_head,SLC20A2,0.9635416666666667
esm2_head,SLC25A46,0.9074074074074074
esm2_head,SLC2A1,0.9434782608695652
esm2_head,SLC2A2,0.961038961038961
esm2_head,SLC34A3,0.856140350877193
esm2_head,SLC38A8,0.7551020408163265
esm2_head,SLC40A1,0.9967105263157895
esm2_head,SLC52A3,0.9753086419753086
